txid,ordertxid,pair,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers
TJWCVX-UGPVO-1PQWQ1,OZKXKP-LKLC5-IKPFTT,XETHXXBT,15:13.3,buy,limit,0.01111,0.003127,0.000008,0.14743046,0,,"LZ8DX5-VCLCC-CRJXIL,LNK6RR-UYGKI-ITTIDD"
TCTWGI-WQGYP-Q21KNM,OAPV4O-5NVT7-NENBNB,XETHXXBT,21:59.7,sell,stop market,0.011159,0.019016,0.000049,0.89448651,0,,"LIYFL2-7B4LV-KGZGO8,LSCCRD-RIBXT-7L6LF7"
T121XH-X3B2B-SU32B1,O4DJGY-Z3ADC-X2TSSR,XLTCXXBT,03:20.1,buy,limit,0.009463,0.01878465,0.00004884,1.9850633,0,,"LLAAYU-IU7KR-6NJNRU,LZELYR-P7DJB-BXLYVV"
TD1UNG-G2Q1G-MXUEWP,OZR6XN-4936H-NS6Z2Z,XXMRXXBT,42:54.1,buy,limit,0.008368,0.00008368,0.00000023,0.01,0.00004184,,LN5SIL-GO25D-NDNJKB
TEMWPV-DGHDK-OOWVTC,OEPRJS-7HIIV-TCAI4L,XXMRXXBT,53:16.0,buy,limit,0.008368,0.00008368,0,0.01,0.00002789,closing,"LCS4AX-54JXJ-R4Y4RG,LR4EK2-4AURN-FFXLFC"
T66U42-3VHVG-V655IR,OCNT25-6RGOH-G2VCNN,XETHXXBT,03:16.0,buy,limit,0.01109,0.028482,0.000074,1.2893617,0,,"L8OOB6-2HRR7-KRKU7I,LKEXUR-BCLDH-RIYLZL"
TPRPUW-PJXBU-M6EJQ4,OS7PNY-E23N6-W9G7TB,XETHXXBT,04:35.6,sell,stop market,0.011419,0.02763,0.000072,1.2893617,0,,"LYUSTL-6G5TN-TT2JF8,LHSLZI-KCSHT-BU2UK2"
TPNJAM-36UR3-SKYY3R,O9ENTG-36H2Z-FGKGXD,XTZXBT,06:37.9,buy,limit,0.0001311,0.002002,0.0000032,15.27080094,0,,"LBO5FZ-FUH7R-ZKANYL,LR4RGF-IUHR5-X6NRFT"
TJ47NF-O4NLA-QW2AIK,O9ENTG-36H2Z-FGKGXD,XTZXBT,08:40.6,buy,limit,0.0001311,0.004553,0.00000728,34.72919906,0,,"LU5IVV-7I22F-CNNSZL,LZTTCH-P2Z67-PPTN6R"
TGOJPN-RK2WY-YMMGPE,ON7D3K-5EXIE-SDSOB7,XTZXBT,31:43.1,sell,stop market,0.0001305,0.006525,0.00001696,50,0,,"LFAKYI-R2PFD-8GKRKZ,LK44AS-X47XN-GPFANY"
